	QiY201	QiY202	QiY203	QiY204	QiY205	QiY206	QiY207	Description
EC:1.7.2.3	95	84	635	2425	313	314	282	Trimethylamine-N-oxide reductase (cytochrome c)
EC:1.7.2.4	3437	3765	4580	4856	2759	2182	3126	Nitrous-oxide reductase
EC:1.7.2.5	3134	2179	4278	3795	5038	4166	5069	Nitric-oxide reductase (cytochrome c)
EC:1.7.2.6	28	27	91	44	833	56	295	Hydroxylamine dehydrogenase
EC:1.7.3.3	367	1949	632	642	494	945	300	Factor independent urate hydroxylase
EC:1.7.7.1	853	1571	1848	2267	2468	1785	1705	Ferredoxin--nitrite reductase
EC:1.7.7.2	2352	4481	3956	3282	2648	1919	34	Ferredoxin--nitrate reductase
EC:1.7.99.1	3973	2161	1677	7522	3020	820	3743	Hydroxylamine reductase
EC:1.7.99.4	47548	26087	27300	41990	67322	30379	46255	Nitrate reductase
EC:1.8.1.14	0	0	4	0	0	0	0	CoA-disulfide reductase
EC:1.8.1.15	198	924	202	436	500	1158	259	Mycothione reductase
EC:1.8.1.2	76644	18544	32722	39501	72729	35347	23745	Assimilatory sulfite reductase (NADPH)
EC:1.8.1.4	128971	43307	57002	77347	84099	62671	57745	Dihydrolipoyl dehydrogenase
EC:1.8.1.7	40393	9294	18774	26289	26864	23308	4864	Glutathione-disulfide reductase
EC:1.8.1.8	50835	21200	29769	31002	57906	22796	33799	Protein-disulfide reductase
EC:1.8.1.9	119566	52421	60360	83377	78180	65561	48972	Thioredoxin-disulfide reductase
EC:1.8.2.1	215	168	476	398	1642	96	1658	Sulfite dehydrogenase
EC:1.8.2.2	3524	5391	4522	3523	11066	1531	1171	Thiosulfate dehydrogenase
EC:1.8.2.3	71	68	11	9	74	14	1152	Sulfide-cytochrome-c reductase (flavocytochrome c)
EC:1.8.3.1	393	213	255	377	8481	512	0	Sulfite oxidase
EC:1.8.4.11	71940	32282	46039	58552	70882	50742	30279	Peptide-methionine (S)-S-oxide reductase
EC:1.8.4.12	74717	30168	42248	61667	62544	47728	26653	Peptide-methionine (R)-S-oxide reductase
EC:1.8.4.8	43276	17905	23669	29853	44451	25522	22885	Phosphoadenylyl-sulfate reductase (thioredoxin)
EC:1.8.5.2	1203	1952	1123	1097	1287	1911	474	Thiosulfate dehydrogenase (quinone)
EC:1.8.5.3	86	123	581	2562	184	33	1730	Dimethylsulfoxide reductase
EC:1.8.7.1	2292	6238	3291	3678	8736	4172	1787	Assimilatory sulfite reductase (ferredoxin)
EC:1.8.7.2	92	855	860	287	3091	45	30	Ferredoxin:thioredoxin reductase
EC:1.8.98.1	2468	1089	106	23	8228	229	26586	CoB--CoM heterodisulfide reductase
EC:1.8.99.2	420	510	120	0	128	12	1674	Adenylyl-sulfate reductase
EC:1.8.99.3	210	202	91	0	112	12	1660	Hydrogensulfite reductase
EC:1.8.99.5	210	202	91	0	112	12	1660	Dissimilatory sulfite reductase
EC:1.9.3.1	274762	96814	126792	167874	208322	138370	97761	Cytochrome-c oxidase
EC:1.97.1.4	13623	14552	10384	21463	43221	5885	40734	[Formate-C-acetyltransferase]-activating enzyme
EC:1.97.1.9	102	104	384	1351	240	176	283	Selenate reductase
EC:2.1.1.10	1764	3317	2481	3064	2510	1093	1119	Homocysteine S-methyltransferase
EC:2.1.1.100	297	1001	479	318	180	195	0	Protein-S-isoprenylcysteine O-methyltransferase
EC:2.1.1.102	12	185	30	16	12	0	18	Demethylmacrocin O-methyltransferase
EC:2.1.1.103	0	34	40	177	302	64	44	Phosphoethanolamine N-methyltransferase
EC:2.1.1.104	86	328	216	127	1566	65	229	Caffeoyl-CoA O-methyltransferase
EC:2.1.1.107	96287	38154	48202	71216	96699	57180	46060	Uroporphyrinogen-III C-methyltransferase
EC:2.1.1.11	1375	1043	1754	1565	2819	2292	73	Magnesium protoporphyrin IX methyltransferase
EC:2.1.1.113	24	19	22	18	85	55	186	Site-specific DNA-methyltransferase (cytosine-N(4)-specific)
EC:2.1.1.13	88981	30410	43827	57300	60760	46255	34313	Methionine synthase
EC:2.1.1.130	6625	6563	6961	7645	15524	9032	5150	Precorrin-2 C(20)-methyltransferase
EC:2.1.1.131	7290	6794	7136	9362	15702	9298	5366	Precorrin-3B C(17)-methyltransferase
EC:2.1.1.132	6357	6304	6374	6501	11137	8505	3660	"Precorrin-6B C(5,15)-methyltransferase (decarboxylating)"
EC:2.1.1.133	6963	6842	7051	8945	15651	9075	5549	Precorrin-4 C(11)-methyltransferase
EC:2.1.1.14	43412	12231	16619	23329	29878	18647	17177	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
EC:2.1.1.144	1986	4502	3678	5949	4727	6721	2742	Trans-aconitate 2-methyltransferase
EC:2.1.1.148	1759	3164	2393	3155	6299	1557	6176	Thymidylate synthase (FAD)
EC:2.1.1.151	6426	5149	6627	7206	15222	8030	4892	Cobalt-factor II C(20)-methyltransferase
EC:2.1.1.152	3155	2495	2419	3407	3579	5440	884	Precorrin-6A synthase (deacetylating)
EC:2.1.1.157	0	46	17	0	172	0	34	Sarcosine/dimethylglycine N-methyltransferase
EC:2.1.1.163	52610	23643	29840	39968	53915	31069	29554	Demethylmenaquinone methyltransferase
EC:2.1.1.166	39939	8141	17539	24057	38232	21859	21445	23S rRNA (uridine(2552)-2'-O)-methyltransferase
EC:2.1.1.17	2503	1765	3659	4259	4964	6938	1328	Phosphatidylethanolamine N-methyltransferase
EC:2.1.1.170	53567	23213	28486	38829	42433	29189	27301	16S rRNA (guanine(527)-N(7))-methyltransferase
EC:2.1.1.171	15282	10704	15558	22732	24886	21629	8065	16S rRNA (guanine(966)-N(2))-methyltransferase
EC:2.1.1.172	8685	6257	8945	11805	27469	9308	3100	16S rRNA (guanine(1207)-N(2))-methyltransferase
EC:2.1.1.173	3019	1580	4453	4341	13822	3194	2652	23S rRNA (guanine(2445)-N(2))-methyltransferase
EC:2.1.1.174	20	22	315	1318	311	143	91	23S rRNA (guanine(1835)-N(2))-methyltransferase
EC:2.1.1.176	83644	27678	39998	54972	62483	47293	38809	16S rRNA (cytosine(967)-C(5))-methyltransferase
EC:2.1.1.177	47754	16898	24998	32256	37224	26213	23473	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase
EC:2.1.1.178	191	202	351	1416	276	222	162	16S rRNA (cytosine(1407)-C(5))-methyltransferase
EC:2.1.1.179	14	0	4	8	0	10	10	16S rRNA (guanine(1405)-N(7))-methyltransferase
EC:2.1.1.181	6520	1577	3978	4805	12146	2102	1231	23S rRNA (adenine(1618)-N(6))-methyltransferase
EC:2.1.1.182	53449	23617	28765	39078	49252	29959	30231	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
EC:2.1.1.184	87	139	79	90	112	148	257	23S rRNA (adenine(2085)-N(6))-dimethyltransferase
EC:2.1.1.185	53790	23540	28670	38931	43685	30183	25912	23S rRNA (guanosine(2251)-2'-O)-methyltransferase
EC:2.1.1.186	2328	1215	3271	3725	3986	3005	1866	23S rRNA (cytidine(2498)-2'-O)-methyltransferase
EC:2.1.1.187	3946	4041	3417	5363	12959	2545	2087	23S rRNA (guanine(745)-N(1))-methyltransferase
EC:2.1.1.189	2251	1322	847	2208	839	1262	1482	23S rRNA (uracil(747)-C(5))-methyltransferase
EC:2.1.1.190	53530	20559	28158	38536	41554	28172	22168	23S rRNA (uracil(1939)-C(5))-methyltransferase
EC:2.1.1.191	59725	23187	28522	40473	60291	25042	23135	23S rRNA (cytosine(1962)-C(5))-methyltransferase
EC:2.1.1.192	54698	22799	29783	39932	59809	30475	26420	23S rRNA (adenine(2503)-C(2))-methyltransferase
EC:2.1.1.193	53208	23345	28545	38804	43766	29953	24018	16S rRNA (uracil(1498)-N(3))-methyltransferase
EC:2.1.1.195	3766	3524	2962	4182	8701	2490	3591	Cobalt-precorrin-5B (C(1))-methyltransferase
EC:2.1.1.196	426	1061	1150	2107	5492	214	1415	Cobalt-precorrin-6B (C(15))-methyltransferase (decarboxylating)
EC:2.1.1.197	30116	4708	8572	8210	26192	6769	18993	Malonyl-[acyl-carrier protein] O-methyltransferase
EC:2.1.1.198	88281	31370	38162	48818	57663	35302	41923	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
EC:2.1.1.199	54055	24021	28857	39216	44326	30052	27421	16S rRNA (cytosine(1402)-N(4))-methyltransferase
EC:2.1.1.200	2919	1774	3983	4538	14192	3315	2849	tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase
EC:2.1.1.201	52610	23643	29840	39968	53915	31069	29554	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
EC:2.1.1.206	0	0	0	0	4957	16	2575	tRNA (cytidine(56)-2'-O)-methyltransferase
EC:2.1.1.207	42813	13516	19777	27662	37074	23712	22078	tRNA (cytidine(34)-2'-O)-methyltransferase
EC:2.1.1.210	1354	197	958	1359	1057	2150	113	Demethylspheroidene O-methyltransferase
EC:2.1.1.213	0	0	0	0	4939	16	2531	tRNA (guanine(10)-N(2))-dimethyltransferase
EC:2.1.1.215	51	804	590	265	5589	46	2488	tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase
EC:2.1.1.216	51	804	590	265	5589	46	2488	tRNA (guanine(26)-N(2))-dimethyltransferase
EC:2.1.1.217	3197	2671	1890	3319	1793	1005	1654	tRNA (adenine(22)-N(1))-methyltransferase
EC:2.1.1.219	906	3870	973	1440	7704	2145	3339	tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase
EC:2.1.1.220	906	3870	973	1440	7704	2145	3339	tRNA (adenine(58)-N(1))-methyltransferase
EC:2.1.1.222	41929	9735	20281	28832	36851	25764	19959	2-polyprenyl-6-hydroxyphenol methylase
EC:2.1.1.223	9450	6249	6324	9566	2147	3685	956	tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase
EC:2.1.1.224	0	1	0	11	0	0	0	23S rRNA (adenine(2503)-C(8))-methyltransferase
EC:2.1.1.226	15857	13747	14949	24445	17419	20972	11759	23S rRNA (cytidine(1920)-2'-O)-methyltransferase
EC:2.1.1.227	15857	13747	14949	24445	17419	20972	11759	16S rRNA (cytidine(1409)-2'-O)-methyltransferase
EC:2.1.1.228	53514	23649	28814	39153	49302	30079	31085	tRNA (guanine(37)-N(1))-methyltransferase
EC:2.1.1.234	19	5	0	0	0	0	6	"N,N-dimethyltransferase"
EC:2.1.1.242	2693	1279	2952	4246	13250	1578	2572	16S rRNA (guanine(1516)-N(2))-methyltransferase
EC:2.1.1.245	621	335	287	2630	2130	285	12968	Co-methyltransferase
EC:2.1.1.246	106	90	9	1236	42	0	107	methyltransferase
EC:2.1.1.248	0	0	0	0	36	0	88	[Methylamine--corrinoid protein] Co-methyltransferase
EC:2.1.1.249	0	0	0	0	18	0	44	[Dimethylamine--corrinoid protein] Co-methyltransferase
EC:2.1.1.250	2379	1891	3818	6945	5780	3479	951	[Trimethylamine--corrinoid protein] Co-methyltransferase
EC:2.1.1.256	0	0	0	0	1170	0	1398	tRNA (guanine(6)-N(2))-methyltransferase
EC:2.1.1.257	61	61	255	55	1677	141	1133	tRNA (pseudouridine(54)-N(1))-methyltransferase
EC:2.1.1.258	300	162	116	1315	367	106	4256	Co-methyltransferase
EC:2.1.1.260	0	0	0	0	4470	0	1532	rRNA small subunit pseudouridine methyltransferase Nep1
EC:2.1.1.264	3019	1580	4453	4341	13822	3194	2652	23S rRNA (guanine(2069)-N(7))-methyltransferase
EC:2.1.1.265	121	77	772	1784	225	79	156	Tellurite methyltransferase
EC:2.1.1.266	35450	6144	13080	17285	30220	15824	15379	23S rRNA (adenine(2030)-N(6))-methyltransferase
EC:2.1.1.268	2	38	16	19	82	6	22	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase
EC:2.1.1.269	0	0	0	0	575	18	0	Dimethylsulfoniopropionate demethylase
EC:2.1.1.271	6963	6842	7051	8945	15651	9075	5549	Cobalt-precorrin-4 methyltransferase
EC:2.1.1.288	0	0	0	21	27	22	0	Aklanonic acid methyltransferase
EC:2.1.1.289	371	254	323	1842	3609	178	1417	Cobalt-precorrin-7 (C(5))-methyltransferase
EC:2.1.1.294	487	278	438	602	384	420	236	3-phospho-methyltransferase
EC:2.1.1.295	74	823	843	277	2672	45	16	"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase"
EC:2.1.1.297	54113	27206	29724	40226	49818	31788	30891	Peptide chain release factor N(5)-glutamine methyltransferase
EC:2.1.1.298	29137	3978	7981	7877	25867	5789	16729	Ribosomal protein L3 N(5)-glutamine methyltransferase
EC:2.1.1.307	0	0	0	0	0	20	0	methyltransferase
EC:2.1.1.33	52447	21421	27638	37809	40488	29503	23138	tRNA (guanine(46)-N(7))-methyltransferase
EC:2.1.1.34	3121	5547	5127	5370	2368	1207	712	tRNA (guanosine(18)-2'-O)-methyltransferase
EC:2.1.1.35	2245	1580	1964	3325	12377	1280	3010	tRNA (uracil(54)-C(5))-methyltransferase
EC:2.1.1.37	43178	16629	21598	23818	55736	19873	21247	DNA (cytosine-5-)-methyltransferase
EC:2.1.1.41	28	5	12	0	5	0	6	Sterol 24-C-methyltransferase
EC:2.1.1.43	0	13	7	0	84	6	8	Histone-lysine N-methyltransferase
EC:2.1.1.44	235	1338	368	441	312	862	379	L-histidine N(alpha)-methyltransferase
EC:2.1.1.45	52151	19310	26106	37901	35794	28938	23757	Thymidylate synthase
EC:2.1.1.5	0	6	0	0	0	0	0	Betaine--homocysteine S-methyltransferase
EC:2.1.1.6	0	46	16	22	0	492	7	Catechol O-methyltransferase
EC:2.1.1.61	29481	3392	6291	8598	23789	4754	16377	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
EC:2.1.1.63	92549	35004	43282	59448	65719	50694	38798	Methylated-DNA--[protein]-cysteine S-methyltransferase
EC:2.1.1.64	41929	9735	20281	28832	36851	25764	19959	3-demethylubiquinol 3-O-methyltransferase
EC:2.1.1.67	2559	1124	1386	2219	21469	1238	2484	Thiopurine S-methyltransferase
EC:2.1.1.71	2503	1765	3659	4259	4964	6938	1328	Phosphatidyl-N-methylethanolamine N-methyltransferase
EC:2.1.1.72	144574	61179	69524	96188	111999	72952	70847	Site-specific DNA-methyltransferase (adenine-specific)
EC:2.1.1.74	12774	7118	11877	18565	11952	17260	3063	(FADH(2)-oxidizing)
EC:2.1.1.77	77815	20864	33903	44072	57833	36514	45633	Protein-L-isoaspartate(D-aspartate) O-methyltransferase
EC:2.1.1.79	55170	24178	35162	51188	63041	52465	26265	Cyclopropane-fatty-acyl-phospholipid synthase
EC:2.1.1.80	96730	31597	40833	54432	67009	49358	38157	Protein-glutamate O-methyltransferase
EC:2.1.1.86	0	2	0	0	4314	144	9059	Tetrahydromethanopterin S-methyltransferase
EC:2.1.1.90	0	2	0	0	18	0	44	Methanol--corrinoid protein Co-methyltransferase
EC:2.1.1.95	55	1098	829	326	1924	36	0	Tocopherol O-methyltransferase
EC:2.1.1.98	0	0	0	0	4930	16	2488	Diphthine synthase
EC:2.1.2.1	56301	28169	31886	41768	63068	32636	31368	Glycine hydroxymethyltransferase
EC:2.1.2.10	51887	23554	29437	39544	49995	31472	24751	Aminomethyltransferase
EC:2.1.2.11	50380	21620	27256	36707	54395	27922	26793	3-methyl-2-oxobutanoate hydroxymethyltransferase
EC:2.1.2.13	279	208	623	1920	663	204	446	UDP-4-amino-4-deoxy-L-arabinose formyltransferase
EC:2.1.2.2	87653	29753	39710	54153	74246	41323	41989	Phosphoribosylglycinamide formyltransferase
EC:2.1.2.3	53670	23744	28921	39133	45406	30093	29649	Phosphoribosylaminoimidazolecarboxamide formyltransferase
EC:2.1.2.5	2501	2700	1538	4002	3082	898	1132	Glutamate formimidoyltransferase
EC:2.1.2.9	78865	25209	30838	44065	48017	32384	31647	Methionyl-tRNA formyltransferase
EC:2.1.3.1	33	124	16	164	72	203	48	Methylmalonyl-CoA carboxytransferase
EC:2.1.3.11	8445	5307	5735	6358	1551	3368	204	N-succinylornithine carbamoyltransferase
EC:2.1.3.2	53354	23517	28738	39166	49153	30177	30245	Aspartate carbamoyltransferase
EC:2.1.3.3	18040	15069	16762	29809	43788	22728	14521	Ornithine carbamoyltransferase
EC:2.1.3.6	18	11	14	10	0	10	17	Putrescine carbamoyltransferase
EC:2.1.3.7	0	0	3	0	0	44	0	3-hydroxymethylcephem carbamoyltransferase
EC:2.1.3.9	1121	976	2389	1666	1456	2399	275	N-acetylornithine carbamoyltransferase
EC:2.1.4.1	64	76	177	83	20	168	37	Glycine amidinotransferase
EC:2.10.1.1	77682	26062	31263	43085	53167	32966	34590	Molybdopterin molybdotransferase
EC:2.2.1.1	77450	39098	46305	67723	67912	50564	34174	Transketolase
EC:2.2.1.10	24	12	11	0	5010	40	3599	"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase"
EC:2.2.1.11	0	0	0	0	2	8	183	6-deoxy-5-ketofructose 1-phosphate synthase
EC:2.2.1.2	58102	25035	31173	43652	52386	32196	27742	Transaldolase
EC:2.2.1.6	150625	66273	84126	117893	157163	94481	85514	Acetolactate synthase
EC:2.2.1.7	52891	22685	27273	37645	42621	29765	23876	1-deoxy-D-xylulose-5-phosphate synthase
EC:2.2.1.9	7233	7073	5363	7122	5871	4083	1616	synthase
EC:2.3.1.1	72688	22383	27612	37320	69152	30542	50790	Amino-acid N-acetyltransferase
EC:2.3.1.101	585	451	396	614	1905	1130	3110	Formylmethanofuran--tetrahydromethanopterin N-formyltransferase
EC:2.3.1.102	26	0	33	48	23	42	0	N(6)-hydroxylysine O-acetyltransferase
EC:2.3.1.109	9957	4576	9409	15813	26408	11948	1904	Arginine N-succinyltransferase
EC:2.3.1.117	50193	18414	25302	35088	37297	28061	21141	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
EC:2.3.1.118	5020	1845	2791	4622	2850	7161	2452	N-hydroxyarylamine O-acetyltransferase
EC:2.3.1.12	55257	30355	36479	45291	88272	40706	28825	Dihydrolipoyllysine-residue acetyltransferase
EC:2.3.1.122	4	197	96	132	5	3108	28	Trehalose O-mycolyltransferase
EC:2.3.1.128	62972	38961	42355	62046	62789	46856	36692	Ribosomal-protein-alanine N-acetyltransferase
EC:2.3.1.129	45130	15213	20449	22961	38855	18554	21285	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
EC:2.3.1.15	103896	38074	50855	72939	87170	54668	57175	Glycerol-3-phosphate 1-O-acyltransferase
EC:2.3.1.157	44327	17582	23136	32387	43756	26856	29859	Glucosamine-1-phosphate N-acetyltransferase
EC:2.3.1.16	66694	20617	27490	34709	42374	25974	24667	Acetyl-CoA C-acyltransferase
EC:2.3.1.165	0	0	16	22	0	354	0	6-methylsalicylic acid synthase
EC:2.3.1.168	8143	3426	7317	14026	5282	10444	1369	Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase
EC:2.3.1.169	295	160	116	1315	387	106	4422	CO-methylating acetyl-CoA synthase
EC:2.3.1.174	1940	1221	1991	2531	11653	2746	738	3-oxoadipyl-CoA thiolase
EC:2.3.1.178	2152	589	1168	1326	9390	2335	964	Diaminobutyrate acetyltransferase
EC:2.3.1.179	88316	36880	43237	55512	71216	45204	40127	Beta-ketoacyl-[acyl-carrier-protein] synthase II
EC:2.3.1.18	696	921	168	1550	695	162	437	Galactoside O-acetyltransferase
EC:2.3.1.180	71808	38245	45579	57447	52157	42382	26781	Beta-ketoacyl-[acyl-carrier-protein] synthase III
EC:2.3.1.181	49630	19570	26255	33745	41717	27937	23600	Lipoyl(octanoyl) transferase
EC:2.3.1.182	1982	986	573	797	1196	1073	2439	(R)-citramalate synthase
EC:2.3.1.183	52987	18577	25038	33254	25513	28299	8029	Phosphinothricin acetyltransferase
EC:2.3.1.184	2052	888	2045	2761	3770	2988	797	Acyl-homoserine-lactone synthase
EC:2.3.1.187	3065	1544	2634	3463	11236	1908	679	Acetyl-S-ACP:malonate ACP transferase
EC:2.3.1.189	671	3635	907	1396	1492	2106	884	Mycothiol synthase
EC:2.3.1.19	2276	1376	1148	4417	2374	2211	1690	Phosphate butyryltransferase
EC:2.3.1.191	47101	19221	25272	27258	39356	19947	21396	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
EC:2.3.1.193	73	86	803	1903	807	224	1275	tRNA(Met) cytidine acetyltransferase
EC:2.3.1.20	737	3191	1227	778	523	5060	516	Diacylglycerol O-acyltransferase
EC:2.3.1.200	0	0	0	0	0	0	18	Lipoyl amidotransferase
EC:2.3.1.201	4938	1482	1526	1910	1900	1277	518	"UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase"
EC:2.3.1.202	36	166	0	0	7	0	1389	"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase"
EC:2.3.1.203	0	0	0	0	0	0	3	UDP-N-acetylbacillosamine N-acetyltransferase
EC:2.3.1.204	532	367	247	439	246	238	228	Octanoyl-[GcvH]:protein N-octanoyltransferase
EC:2.3.1.207	4527	2121	4711	8900	5337	5642	1409	Beta-ketodecanoyl-[acyl-carrier-protein] synthase
EC:2.3.1.210	3546	112	565	1879	301	201	91	"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase"
EC:2.3.1.222	0	0	161	458	0	0	6	Phosphate propanoyltransferase
EC:2.3.1.223	109	352	439	698	407	76	120	"3-oxo-5,6-didehydrosuberyl-CoA thiolase"
EC:2.3.1.228	3334	554	1441	2319	1006	5940	517	Isovaleryl-homoserine lactone synthase
EC:2.3.1.229	3334	554	1441	2319	1006	5940	517	4-coumaroyl-homoserine lactone synthase
EC:2.3.1.233	0	0	0	0	0	0	3	"1,3,6,8-tetrahydroxynaphthalene synthase"
EC:2.3.1.234	54305	24319	29310	40714	50088	30551	30724	N(6)-L-threonylcarbamoyladenine synthase
EC:2.3.1.241	72724	20062	28470	29179	62282	26246	37551	Kdo(2)-lipid IV(A) lauroyltransferase
EC:2.3.1.242	0	25	349	1333	170	65	91	Kdo(2)-lipid IV(A) palmitoleoyltransferase
EC:2.3.1.243	51	70	441	2368	371	331	225	Lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase
EC:2.3.1.28	7317	1919	3115	4905	1294	2793	785	Chloramphenicol O-acetyltransferase
EC:2.3.1.29	22924	16707	20823	29274	17301	19173	3753	Glycine C-acetyltransferase
EC:2.3.1.30	60495	24877	33048	45380	66778	33675	30126	Serine O-acetyltransferase
EC:2.3.1.31	47433	17501	24455	29244	44470	26233	20531	Homoserine O-acetyltransferase
EC:2.3.1.35	42469	15355	19261	26870	40390	23406	26983	Glutamate N-acetyltransferase
EC:2.3.1.37	12224	4334	10265	18399	7918	19101	1251	5-aminolevulinate synthase
EC:2.3.1.39	57006	25078	31504	42740	55385	32647	28454	[Acyl-carrier-protein] S-malonyltransferase
EC:2.3.1.4	0	0	0	0	2414	0	0	Glucosamine-phosphate N-acetyltransferase
EC:2.3.1.40	2387	1374	2558	4550	14704	3155	2684	Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase
EC:2.3.1.41	38581	11401	19306	19928	32141	20261	16288	Beta-ketoacyl-[acyl-carrier-protein] synthase I
EC:2.3.1.46	6211	3446	4758	6897	4004	6019	2473	Homoserine O-succinyltransferase
EC:2.3.1.47	49554	16667	24726	33118	37192	26744	21260	8-amino-7-oxononanoate synthase
EC:2.3.1.48	64	86	72	106	5091	81	4204	Histone acetyltransferase
EC:2.3.1.5	0	46	16	22	0	492	7	Arylamine N-acetyltransferase
EC:2.3.1.50	7	0	0	24	0	36	0	Serine C-palmitoyltransferase
EC:2.3.1.51	97356	46399	51870	71179	82756	57003	48173	1-acylglycerol-3-phosphate O-acyltransferase
EC:2.3.1.54	3764	3713	3933	9852	2163	1457	2287	Formate C-acetyltransferase
EC:2.3.1.57	8768	3924	5468	11199	2557	2840	1553	Diamine N-acetyltransferase
EC:2.3.1.59	0	158	27	22	0	505	7	Gentamicin 2'-N-acetyltransferase
EC:2.3.1.60	425	568	1138	1789	268	1632	48	Gentamicin 3'-N-acetyltransferase
EC:2.3.1.61	57794	24957	33132	42799	42077	34758	20827	Dihydrolipoyllysine-residue succinyltransferase
EC:2.3.1.7	0	52	17	11	0	0	20	Carnitine O-acetyltransferase
EC:2.3.1.79	7515	7402	5266	11984	4899	6197	2385	Maltose O-acetyltransferase
EC:2.3.1.8	13424	10453	9707	14028	23123	9710	14453	Phosphate acetyltransferase
EC:2.3.1.81	634	544	534	2519	1197	2015	196	Aminoglycoside N(3')-acetyltransferase
EC:2.3.1.82	4673	3944	3579	5722	2616	6452	801	Aminoglycoside 6'-N-acetyltransferase
EC:2.3.1.89	808	835	499	736	561	369	611	Tetrahydrodipicolinate N-acetyltransferase
EC:2.3.1.9	182311	73797	96692	133308	213392	129502	75664	Acetyl-CoA C-acetyltransferase
EC:2.3.2.10	3	37	383	422	5	0	50	UDP-N-acetylmuramoylpentapeptide-lysine N(6)-alanyltransferase
EC:2.3.2.13	18	18	0	11	24	6	21	Protein-glutamine gamma-glutamyltransferase
EC:2.3.2.15	0	0	8	0	0	0	0	Glutathione gamma-glutamylcysteinyltransferase
EC:2.3.2.16	77	100	51	32	18	28	53	Lipid II:glycine glycyltransferase
EC:2.3.2.17	3	7	4	0	3	0	20	glycyltransferase
EC:2.3.2.18	0	0	4	0	3	0	17	glycyltransferase
EC:2.3.2.2	109268	34373	48197	61626	57055	52883	19569	Gamma-glutamyltransferase
EC:2.3.2.22	0	0	0	0	0	0	12	Cyclo(L-leucyl-L-leucyl) synthase
EC:2.3.2.3	5241	4616	5362	11328	5972	7066	2140	Lysyltransferase
EC:2.3.2.4	19	16	18	12	800	9	16	Gamma-glutamylcyclotransferase
EC:2.3.2.5	1882	437	739	1119	246	1788	6	Glutaminyl-peptide cyclotransferase
EC:2.3.2.6	44005	15848	24104	30779	38423	26197	20741	Leucyltransferase
EC:2.3.2.8	44025	8772	17458	25018	32609	22430	18900	Arginyltransferase
EC:2.3.3.1	59500	27614	33380	45337	53623	41219	28658	Citrate (Si)-synthase
EC:2.3.3.10	1036	1266	1387	1199	5890	594	3433	Hydroxymethylglutaryl-CoA synthase
EC:2.3.3.13	83886	31112	36047	49007	83597	38607	49826	2-isopropylmalate synthase
EC:2.3.3.14	475	1122	1041	726	10616	521	6686	Homocitrate synthase
EC:2.3.3.15	251	256	164	268	632	327	66	Sulfoacetaldehyde acetyltransferase
EC:2.3.3.5	29879	4636	7410	7486	38273	5859	8192	2-methylcitrate synthase
EC:2.3.3.8	80	104	66	44	2432	32	2857	ATP citrate synthase
EC:2.3.3.9	44565	11708	17644	25626	33470	23503	15796	Malate synthase
EC:2.4.1.1	44227	20234	19469	28281	34565	20096	13643	Glycogen phosphorylase
EC:2.4.1.10	2103	1681	1283	2332	805	2655	67	Levansucrase
EC:2.4.1.11	5515	1137	948	2328	370	1702	322	Glycogen(starch) synthase
EC:2.4.1.117	35	65	45	89	35	69	5	Dolichyl-phosphate beta-glucosyltransferase
EC:2.4.1.12	5039	3899	6698	5618	6004	4812	552	Cellulose synthase (UDP-forming)
EC:2.4.1.129	6115	7474	7188	7849	17837	6343	3889	Peptidoglycan glycosyltransferase
EC:2.4.1.13	0	4	181	0	241	6	257	Sucrose synthase
EC:2.4.1.14	1188	332	591	1011	717	1808	379	Sucrose-phosphate synthase
EC:2.4.1.144	205	180	24	19	0	2	0	"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
EC:2.4.1.15	44172	12839	15406	23918	18696	19498	4543	"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)"
EC:2.4.1.161	76	23	53	81	167	544	46	Oligosaccharide 4-alpha-D-glucosyltransferase
EC:2.4.1.173	198	215	13	2436	15	0	7	Sterol 3-beta-glucosyltransferase
